String;PSČ;CC;Město;Okres;Kraj
10000-Strašnice, Praha;10000;1;Strašnice;Praha;Hlavní město Praha
10001-Vršovice, Praha;10001;1;Vršovice;Praha;Hlavní město Praha
10004-Štěrboholy, Praha;10004;1;Štěrboholy;Praha;Hlavní město Praha
10005-Vršovice, Praha;10005;1;Vršovice;Praha;Hlavní město Praha
10007-Hostivař, Praha;10007;1;Hostivař;Praha;Hlavní město Praha
10100-Vršovice, Praha;10100;1;Vršovice;Praha;Hlavní město Praha
10200-Hostivař, Praha;10200;1;Hostivař;Praha;Hlavní město Praha
10300-Kolovraty, Praha;10300;1;Kolovraty;Praha;Hlavní město Praha
10400-Uhříněves, Praha;10400;1;Uhříněves;Praha;Hlavní město Praha
10600-Záběhlice, Praha;10600;1;Záběhlice;Praha;Hlavní město Praha
10700-Dubeč, Praha;10700;1;Dubeč;Praha;Hlavní město Praha
10800-Malešice, Praha;10800;1;Malešice;Praha;Hlavní město Praha
10900-Horní Měcholupy, Praha;10900;1;Horní Měcholupy;Praha;Hlavní město Praha
11000-Nové Město, Praha;11000;1;Nové Město;Praha;Hlavní město Praha
11001-Staré Město, Praha;11001;1;Staré Město;Praha;
11002-Nové Město, Praha;11002;1;Nové Město;Praha;Hlavní město Praha
11005-Staré Město, Praha;11005;1;Staré Město;Praha;Hlavní město Praha
11006-Nové Město, Praha;11006;1;Nové Město;Praha;Hlavní město Praha
11101-Dolní Měcholupy, Dolní Poustevna;11101;1;Dolní Měcholupy;Dolní Poustevna;
11800-Malá Strana, Praha;11800;1;Malá Strana;Praha;Hlavní město Praha
11900-Hradčany, Praha;11900;1;Hradčany;Praha;Hlavní město Praha
12000-Vinohrady, Praha;12000;1;Vinohrady;Praha;Hlavní město Praha
12003-Vinohrady, Praha;12003;1;Vinohrady;Praha;Hlavní město Praha
12004-Vinohrady, Praha;12004;1;Vinohrady;Praha;Hlavní město Praha
12800-Nové Město, Praha;12800;1;Nové Město;Praha;Hlavní město Praha
13000-Žižkov, Praha;13000;1;Žižkov;Praha;Hlavní město Praha
13001-Vinohrady, Praha;13001;1;Vinohrady;Praha;Hlavní město Praha
13002-Žižkov, Praha;13002;1;Žižkov;Praha;Hlavní město Praha
13003-Vinohrady, Praha;13003;1;Vinohrady;Praha;Hlavní město Praha
13004-Žižkov, Praha;13004;1;Žižkov;Praha;Hlavní město Praha
13005-Žižkov, Praha;13005;1;Žižkov;Praha;Hlavní město Praha
14000-Krč, Praha;14000;1;Krč;Praha;Hlavní město Praha
14002-Krč, Praha;14002;1;Krč;Praha;Hlavní město Praha
